ClientName,OwnerRepo,GitHubOwnerRepo,LibraryOld,LibraryNew,CommitSha,ClientMethod,ExternalCall
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void writeContext(com.github.davidmoten.rtree.Context,com.esotericsoftware.kryo.io.Output)>",<com.esotericsoftware.kryo.io.Output: void writeInt(int)>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void writeBounds(com.esotericsoftware.kryo.io.Output,com.github.davidmoten.rtree.geometry.Rectangle)>",<com.esotericsoftware.kryo.io.Output: void writeBoolean(boolean)>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void writeBounds(com.esotericsoftware.kryo.io.Output,com.github.davidmoten.rtree.geometry.Rectangle)>",<com.esotericsoftware.kryo.io.Output: void writeDouble(double)>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void writeBounds(com.esotericsoftware.kryo.io.Output,com.github.davidmoten.rtree.geometry.Rectangle)>",<com.esotericsoftware.kryo.io.Output: void writeDouble(double)>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void writeBounds(com.esotericsoftware.kryo.io.Output,com.github.davidmoten.rtree.geometry.Rectangle)>",<com.esotericsoftware.kryo.io.Output: void writeDouble(double)>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void writeBounds(com.esotericsoftware.kryo.io.Output,com.github.davidmoten.rtree.geometry.Rectangle)>",<com.esotericsoftware.kryo.io.Output: void writeDouble(double)>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void writeBounds(com.esotericsoftware.kryo.io.Output,com.github.davidmoten.rtree.geometry.Rectangle)>",<com.esotericsoftware.kryo.io.Output: void writeFloat(float)>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void writeBounds(com.esotericsoftware.kryo.io.Output,com.github.davidmoten.rtree.geometry.Rectangle)>",<com.esotericsoftware.kryo.io.Output: void writeFloat(float)>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void writeBounds(com.esotericsoftware.kryo.io.Output,com.github.davidmoten.rtree.geometry.Rectangle)>",<com.esotericsoftware.kryo.io.Output: void writeFloat(float)>
rtree-0.8.6,davidmoten/rtree,github.com/davidmoten/rtree,kryo-3.0.3,kryo-5.6.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.kryo.SerializerKryo: void writeBounds(com.esotericsoftware.kryo.io.Output,com.github.davidmoten.rtree.geometry.Rectangle)>",<com.esotericsoftware.kryo.io.Output: void writeFloat(float)>
rtree-0.8.6,davidmoten/rtree,"github,com/davidmoten/rtree",flatbuffers-java-1.3.0.1,flatbuffers-java-1.10.0.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.fbs.SerializerFlatBuffers: void write(com.github.davidmoten.rtree.RTree,java.io.OutputStream)>",<com.google.flatbuffers.FlatBufferBuilder: void <init>()>
rtree-0.8.6,davidmoten/rtree,"github,com/davidmoten/rtree",flatbuffers-java-1.3.0.1,flatbuffers-java-1.10.0.2,7c6f20019d46ec21ea5df97597f1dea592a115e4,"<com.github.davidmoten.rtree.fbs.LeafFlatBuffers: com.github.davidmoten.rtree.fbs.generated.Node_ createNode(java.util.List,rx.functions.Func1)>",<com.google.flatbuffers.FlatBufferBuilder: void <init>(int)>
tushare-1.0.0,0RaymondJiang0/tushare-java,github.com/0RaymondJiang0/tushare-java,fastjson-1.2.23,fastjson-2.0.56,71ae80ffeff69a2c8e1f4b6e00c2f9a3049c8599,"<waditu.tushare.stock.Trading: java.util.List getTradeList(java.lang.String,java.lang.String)>",<com.alibaba.fastjson.JSON: com.alibaba.fastjson.JSONObject parseObject(java.lang.String)>
